市,人口2005,人口2015,change
杭州市,7507000,9018000,0.201278806
宁波市,6559000,7825000,0.193017228
温州市,7777000,9117000,0.172302945
嘉兴市,3996000,4585000,0.147397397
湖州市,2718000,2950000,0.08535688
绍兴市,4390000,4968000,0.13166287
金华市,4859000,5454000,0.12245318
衢州市,2198000,2133000,-0.029572338
舟山市,1025000,1152000,0.123902439
台州市,5686000,6049000,0.063841013
丽水市,2265000,2139000,-0.055629139
,,,
source:,,,
2006年浙江省统计年鉴：2-4 各市人口自然变动情况,,,
2016年浙江省统计年鉴：2-4 各市人口自然变动情况,,,
