市,人口2005,人口2010,change
拉萨市,449300,559423,0.245099043
昌都地区,597000,657505,0.101348409
山南地区,325000,328990,0.012276923
日喀则地区,663900,703292,0.059334237
那曲地区,401900,462382,0.150490172
阿里地区,80200,95465,0.190336658
林芝地区,158200,195109,0.233305942
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
source：,,,
2006年西藏统计年鉴：3-5各地市人口数,,,
西藏自治区2010年第六次全国人口普查主要数据公报,,,
