市,人口2005,人口2015,change
石家庄市,9610000,10701600,0.11359001
承德市,3370000,3530100,0.047507418
张家口市,4180000,4421700,0.057822967
秦皇岛市,2880000,3073200,0.067083333
唐山市 ,7260000,7801200,0.074545455
廊坊市,3960000,4563200,0.152323232
保定市,10730000,11552400,0.076644921
沧州市,6840000,7443000,0.088157895
衡水市,4220000,4435400,0.051042654
邢台市,6800000,7294400,0.072705882
邯郸市 ,8660000,9433000,0.08926097
,,,
source：,,,
2006年河北省统计年鉴：20-4 各市人口数及人口自然变动（2005年）,,,
2016年河北省统计年鉴：各市人口数及人口自然变动（2015年）,,,
