市,人口2005,人口2015,change
贵阳市,3530900,4621800,0.308958056
六盘水市,3027000,2889900,-0.045292369
遵义市,7432800,6192100,-0.16692229
安顺市,2642500,2313500,-0.124503311
铜仁地区,3928400,3122400,-0.205172589
黔西南州,3117300,2821600,-0.094857729
毕节地区,7251200,6606100,-0.088964585
黔东南州,4417200,3485400,-0.210948112
黔南州,3963900,3242200,-0.182068165
,,,
,,,
,,,
,,,
source:,,,
2006年贵州省统计年鉴：贵州省2005年各州(市、地)常住人口统计,,,
2016年贵州省统计年鉴：27-2  各市(州)年末常住人口,,,
