市,人口2005,人口2015,change
长春市,7315000,7538400,0.030539986
吉林市,4294500,4262400,-0.007474677
四平市,3318900,3264100,-0.016511495
辽源市,1233800,1208000,-0.020911007
通化市,2263100,2211000,-0.023021519
白山市,1303000,1253700,-0.037835764
松原市,2774600,2780700,0.002198515
白城市,2015600,1966700,-0.024260766
延边州,2175200,2135800,-0.018113277
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
source：,,,
2006年吉林统计年鉴：3-3 各市县户数和人口数（2005年末）,,,
2016年吉林统计年鉴：,,,
